location,name
mithlond,Grey Havens
forlond,Forlond
harlond_lindon,Harlond
annuminas,Annúminas
fornost,Fornost
carn_dum,Carn Dûm
hobbiton,Hobbiton
michel_delving,Michel Delving
bucklebury,Bucklebury
me_bree,Bree
amon_sul,Amon Sûl
rivendell,Rivendell
goblin_town,Goblin-town
gundabad,Gundabad
moria,Khazad-dûm
carrock,The Carrock
caras_galadhon,Caras Galadhon
dol_guldur,Dol Guldur
thranduil_halls,Thranduil's Halls
esgaroth,Esgaroth
dale,Dale
erebor,Erebor
dorwinion,Dorwinion
isengard,Isengard
helms_deep,Helm's Deep
edoras,Edoras
aldberg,Aldburg
dunharrow,Dunharrow
minas_tirith,Minas Tirith
osgiliath,Osgiliath
minas_morgul,Minas Morgul
morannon,The Morannon
barad_dur,Barad-dûr
mount_doom,Orodruin
nurn_fields,Fields of Nurn
pelargir,Pelargir
dol_amroth,Dol Amroth
linhir,Linhir
calembel,Calembel
erech,Erech
umbar,Umbar
pelennor,Pelennor
me_land_0001,Coldbay
me_land_0002,Driftbay
me_land_0003,Amon adarath
me_land_0004,Dol adarath
me_land_0005,Ashbag
me_land_0006,Azgbag
me_land_0007,Frostbay
me_land_0008,Alderbank
me_land_0009,Blackbag
me_land_0010,Aldberg
me_land_0011,Eithel adarath
me_land_0012,Balach
me_land_0013,Emyn adarath
me_land_0014,Imlad adarath
me_land_0015,Bearbank
me_land_0016,Ashbank
me_land_0017,Burzbag
me_land_0018,Dushbag
me_land_0019,Barrowbank
me_land_0020,Minas adarath
me_land_0021,Ghashbag
me_land_0022,Gorbag
me_land_0023,Ost adarath
me_land_0024,Beaconbank
me_land_0025,The Argonath
me_land_0026,Azrabad
me_land_0027,Borach
me_land_0028,Taur adarath
me_land_0029,Grishbag
me_land_0030,Applebank
me_land_0031,Bahrabad
me_land_0032,Bar adarath
me_land_0033,Calen adarath
me_land_0034,Alderbark
me_land_0035,Celon adarath
me_land_0036,Azanabad
me_land_0037,Blackbank
me_land_0038,Bramblebank
me_land_0039,Barazabad
me_land_0040,Nim adarath
me_land_0041,Amon aelath
me_land_0042,Dol aelath
me_land_0043,Icebay
me_land_0044,Darabad
me_land_0045,Northbay
me_land_0046,Amberbank
me_land_0047,Arzak
me_land_0048,Bucklandbank
me_land_0049,Cedarbank
me_land_0050,Gathach
me_land_0051,Palebay
me_land_0052,Karmach
me_land_0053,Farabad
me_land_0054,Krimpbag
me_land_0055,Eithel aelath
me_land_0056,Balkak
me_land_0057,Hadrabad
me_land_0058,Beorberg
me_land_0059,Deepbank
me_land_0060,Kharabad
me_land_0061,Bardbank
me_land_0062,Emyn aelath
me_land_0063,Lugbag
me_land_0064,Mauhbag
me_land_0065,Bregoberg
me_land_0066,Eastbank
me_land_0067,Imlad aelath
me_land_0068,Muzgbag
me_land_0069,Pinnath Gelin
me_land_0070,Sealbay
me_land_0071,Greenbank
me_land_0072,Nazgbag
me_land_0073,Minas aelath
me_land_0074,Khurach
me_land_0075,Bellbank
me_land_0076,Mahrabad
me_land_0077,Ceorlberg
me_land_0078,Skaibag
me_land_0079,Snowbay
me_land_0080,Uglbag
me_land_0081,Starbay
me_land_0082,Udûn
me_land_0083,Whitebay
me_land_0084,Brownbank
me_land_0085,Ost aelath
me_land_0086,Narabad
me_land_0087,Taur aelath
me_land_0088,Bizarabad
me_land_0089,Bar aelath
me_land_0090,Lodach
me_land_0091,Calen aelath
me_land_0092,Urukbag
me_land_0093,Narach
me_land_0094,Greybank
me_land_0095,Winterbay
me_land_0096,Qasabad
me_land_0097,Ashburz
me_land_0098,Longbank
me_land_0099,Celon aelath
me_land_0100,Rakhabad
me_land_0101,Nim aelath
me_land_0102,Azgburz
me_land_0103,Blackburz
me_land_0104,Coldcamp
me_land_0105,Amon annonath
me_land_0106,Déorberg
me_land_0107,Rhovach
me_land_0108,Burzburz
me_land_0109,Northbank
me_land_0110,Oakbank
me_land_0111,Dol annonath
me_land_0112,Dushburz
me_land_0113,Eithel annonath
me_land_0114,Emyn annonath
me_land_0115,Southbank
me_land_0116,Stonebank
me_land_0117,Driftcamp
me_land_0118,Sahrabad
me_land_0119,Eorlberg
me_land_0120,Imlad annonath
me_land_0121,Ghashburz
me_land_0122,Westbank
me_land_0123,Tazabad
me_land_0124,Gorburz
me_land_0125,Sagach
me_land_0126,Bundabad
me_land_0127,Frostcamp
me_land_0128,Grishburz
me_land_0129,Alderbourne
me_land_0130,Folcberg
me_land_0131,Icecamp
me_land_0132,Krimpburz
