key,name,x,y,rank,language,realm_hint,source
mithlond,Grey Havens,0.261,0.340,city,Sindarin,Lindon,"LOTR, Book I, Ch. 2; LOTR map"
forlond,Forlond,0.235,0.315,town,Sindarin,Lindon,"LOTR map"
harlond_lindon,Harlond,0.245,0.405,town,Sindarin,Lindon,"LOTR map"
annuminas,Annúminas,0.340,0.315,ruin,Sindarin,Arnor,"LOTR, Appendix A; LOTR map"
fornost,Fornost,0.365,0.285,ruin,Sindarin,Arnor,"LOTR, Book I, Ch. 2; LOTR map"
carn_dum,Carn Dûm,0.405,0.205,fortress,Sindarin,Angmar,"LOTR, Appendix A; LOTR map"
hobbiton,Hobbiton,0.345,0.405,village,Hobbitish,Shire,"LOTR, Book I, Ch. 1"
michel_delving,Michel Delving,0.315,0.425,town,Hobbitish,Shire,"LOTR, Book I, Ch. 2"
bucklebury,Bucklebury,0.375,0.425,village,Hobbitish,Shire,"LOTR, Book I, Ch. 5"
bree,Bree,0.395,0.400,town,Westron,Bree-land,"LOTR, Book I, Ch. 9"
amon_sul,Amon Sûl,0.425,0.365,ruin,Sindarin,Arnor,"LOTR, Book I, Ch. 11; LOTR map"
rivendell,Rivendell,0.475,0.405,refuge,Sindarin,Imladris,"LOTR, Book I, Ch. 12"
goblin_town,Goblin-town,0.475,0.345,hold,Orkish,Misty Mountains,"The Hobbit, Ch. 4"
gundabad,Gundabad,0.490,0.225,hold,Orkish,Gundabad,"LOTR, Appendix A; LOTR map"
moria,Khazad-dûm,0.475,0.515,hold,Khuzdul,Moria,"LOTR, Book II, Ch. 4"
carrock,The Carrock,0.535,0.395,village,Westron,Beornings,"The Hobbit, Ch. 7"
caras_galadhon,Caras Galadhon,0.525,0.525,refuge,Sindarin,Lothlórien,"LOTR, Book II, Ch. 7"
dol_guldur,Dol Guldur,0.605,0.505,fortress,Sindarin,Dol Guldur,"LOTR, Appendix B; LOTR map"
thranduil_halls,Thranduil's Halls,0.615,0.330,refuge,Sindarin,Woodland Realm,"The Hobbit, Ch. 9"
esgaroth,Esgaroth,0.645,0.370,town,Dalish,Lake-town,"The Hobbit, Ch. 10"
dale,Dale,0.660,0.335,city,Dalish,Dale,"The Hobbit, Ch. 14"
erebor,Erebor,0.660,0.305,hold,Khuzdul,Erebor,"The Hobbit, Ch. 1"
dorwinion,Dorwinion,0.728,0.470,town,Westron,Dorwinion,"The Hobbit, Ch. 9; LOTR map"
isengard,Isengard,0.475,0.635,fortress,Sindarin,Isengard,"LOTR, Book II, Ch. 2; LOTR map"
helms_deep,Helm's Deep,0.485,0.690,fortress,Rohirric,Rohan,"LOTR, Book III, Ch. 7"
edoras,Edoras,0.535,0.690,city,Rohirric,Rohan,"LOTR, Book III, Ch. 6"
aldberg,Aldburg,0.575,0.700,town,Rohirric,Rohan,"LOTR, Appendix A"
dunharrow,Dunharrow,0.545,0.725,fortress,Rohirric,Rohan,"LOTR, Book V, Ch. 3"
minas_tirith,Minas Tirith,0.625,0.720,capital,Sindarin,Gondor,"LOTR, Book V, Ch. 1"
osgiliath,Osgiliath,0.650,0.720,ruin,Sindarin,Gondor,"LOTR, Book V, Ch. 4"
minas_morgul,Minas Morgul,0.690,0.705,fortress,Sindarin,Mordor,"LOTR, Book IV, Ch. 8"
morannon,The Morannon,0.695,0.610,fortress,Sindarin,Mordor,"LOTR, Book IV, Ch. 3"
barad_dur,Barad-dûr,0.755,0.685,capital,Black Speech,Mordor,"LOTR, Book II, Ch. 2"
mount_doom,Orodruin,0.735,0.720,landmark,Sindarin,Mordor,"LOTR, Book VI, Ch. 3"
pelargir,Pelargir,0.575,0.812,city,Sindarin,Gondor,"LOTR, Book V, Ch. 9"
dol_amroth,Dol Amroth,0.506,0.767,city,Sindarin,Gondor,"LOTR, Book V, Ch. 1"
linhir,Linhir,0.545,0.779,town,Sindarin,Gondor,"LOTR, Book V, Ch. 2"
calembel,Calembel,0.520,0.765,town,Sindarin,Gondor,"LOTR, Book V, Ch. 2"
erech,Erech,0.495,0.745,town,Sindarin,Gondor,"LOTR, Book V, Ch. 2"
umbar,Umbar,0.440,0.900,city,Sindarin,Umbar,"LOTR, Appendix A; LOTR map"
pelennor,Pelennor,0.615,0.715,landmark,Sindarin,Gondor,"LOTR, Book V, Ch. 1"
