index,key,display_name,kind,control_x,control_y,normalized_x,normalized_y,control_area,biome_id,continent,region,rgb,anchor
0,mithlond,Grey Havens,land,1069,696,0.2610501,0.3400098,299,1,me_eriador,me_lindon_region,d653b9,yes
1,forlond,Forlond,land,962,645,0.2349206,0.3150953,307,1,me_eriador,me_lindon_region,748b32,yes
2,harlond_lindon,Harlond,land,1003,829,0.2449328,0.4049829,339,1,me_eriador,me_lindon_region,12c2ab,yes
3,annuminas,Annúminas,land,1392,645,0.3399267,0.3150953,349,1,me_eriador,me_north_arnor_region,b0fa24,yes
4,fornost,Fornost,land,1495,583,0.3650794,0.2848070,281,1,me_eriador,me_north_arnor_region,4f319d,yes
5,carn_dum,Carn Dûm,land,1658,420,0.4048840,0.2051783,397,5,me_forodwaith,me_angmar_region,ed6916,yes
6,hobbiton,Hobbiton,land,1413,829,0.3450549,0.4049829,369,3,me_eriador,me_shire_breeland_region,8ba08f,yes
7,michel_delving,Michel Delving,land,1290,870,0.3150183,0.4250122,262,1,me_eriador,me_shire_breeland_region,29d808,yes
8,bucklebury,Bucklebury,land,1536,870,0.3750916,0.4250122,331,3,me_eriador,me_shire_breeland_region,c80f81,yes
9,me_bree,Bree,land,1618,819,0.3951160,0.4000977,310,1,me_eriador,me_shire_breeland_region,6646fa,yes
10,amon_sul,Amon Sûl,land,1740,747,0.4249084,0.3649243,305,2,me_eriador,me_shire_breeland_region,047e73,yes
11,rivendell,Rivendell,land,1945,829,0.4749695,0.4049829,310,1,me_eriador,me_shire_breeland_region,a2b5ec,yes
12,goblin_town,Goblin-town,land,1945,706,0.4749695,0.3448950,314,1,me_eriador,me_north_arnor_region,40ed65,yes
13,gundabad,Gundabad,land,2007,461,0.4901099,0.2252076,373,1,me_forodwaith,me_angmar_region,df24de,yes
14,moria,Khazad-dûm,land,1945,1054,0.4749695,0.5148999,389,1,me_rhovanion,me_anduin_vale_region,7d5c57,yes
15,carrock,The Carrock,land,2191,809,0.5350427,0.3952125,281,1,me_rhovanion,me_anduin_vale_region,1b93d0,yes
16,caras_galadhon,Caras Galadhon,land,2150,1075,0.5250305,0.5251588,272,3,me_rhovanion,me_anduin_vale_region,b9cb49,yes
17,dol_guldur,Dol Guldur,land,2477,1034,0.6048840,0.5051295,558,3,me_rhovanion,me_mirkwood_region,5802c2,yes
18,thranduil_halls,Thranduil's Halls,land,2518,676,0.6148962,0.3302394,272,3,me_rhovanion,me_dale_region,f63a3b,yes
19,esgaroth,Esgaroth,land,2641,757,0.6449328,0.3698095,246,3,me_rhovanion,me_dale_region,9471b4,yes
20,dale,Dale,land,2703,686,0.6600733,0.3351246,294,1,me_rhovanion,me_dale_region,32a92d,yes
21,erebor,Erebor,land,2703,624,0.6600733,0.3048363,393,1,me_rhovanion,me_dale_region,d0e0a6,yes
22,dorwinion,Dorwinion,land,2981,962,0.7279609,0.4699560,293,9,me_mordor_and_rhun,me_rhun_region,6f181f,yes
23,isengard,Isengard,land,1945,1300,0.4749695,0.6350757,300,1,me_rhovanion,me_rohan_region,0d4f98,yes
24,helms_deep,Helm's Deep,land,1986,1412,0.4849817,0.6897899,373,1,me_rhovanion,me_rohan_region,ab8711,yes
25,edoras,Edoras,land,2191,1412,0.5350427,0.6897899,266,1,me_rhovanion,me_rohan_region,49be8a,yes
26,aldberg,Aldburg,land,2355,1433,0.5750916,0.7000489,327,2,me_rhovanion,me_rohan_region,e7f603,yes
27,dunharrow,Dunharrow,land,2232,1484,0.5450549,0.7249634,72,4,me_rhovanion,me_rohan_region,862d7c,yes
28,minas_tirith,Minas Tirith,land,2559,1474,0.6249084,0.7200782,334,2,me_gondor,me_anorien_region,2464f5,yes
29,osgiliath,Osgiliath,land,2662,1474,0.6500611,0.7200782,309,2,me_gondor,me_ithilien_region,c29c6e,yes
30,minas_morgul,Minas Morgul,land,2826,1443,0.6901099,0.7049340,470,8,me_mordor_and_rhun,me_mordor_region,60d3e7,yes
31,morannon,The Morannon,land,2846,1249,0.6949939,0.6101612,343,8,me_mordor_and_rhun,me_mordor_region,ff0b60,yes
32,barad_dur,Barad-dûr,land,3092,1402,0.7550672,0.6849047,319,8,me_mordor_and_rhun,me_mordor_region,9d42d9,yes
33,mount_doom,Orodruin,land,3010,1474,0.7350427,0.7200782,379,8,me_mordor_and_rhun,me_mordor_region,3b7a52,yes
34,nurn_fields,Fields of Nurn,land,2866,1515,0.6998779,0.7401075,408,8,me_mordor_and_rhun,me_mordor_region,d9b1cb,yes
35,pelargir,Pelargir,land,2355,1662,0.5750916,0.8119199,248,1,me_gondor,me_lebennin_region,77e944,yes
36,dol_amroth,Dol Amroth,land,2072,1570,0.5059829,0.7669761,309,1,me_gondor,me_belfalas_region,1620bd,yes
37,linhir,Linhir,land,2232,1595,0.5450549,0.7791891,263,1,me_gondor,me_lebennin_region,b45836,yes
38,calembel,Calembel,land,2129,1566,0.5199023,0.7650220,47,4,me_gondor,me_belfalas_region,528faf,yes
39,erech,Erech,land,2027,1525,0.4949939,0.7449927,363,1,me_rhovanion,me_rohan_region,f0c728,yes
40,umbar,Umbar,land,1802,1842,0.4400488,0.8998534,432,10,me_harad,me_umbar_region,8efea1,yes
41,pelennor,Pelennor,land,2518,1464,0.6148962,0.7151930,304,2,me_rhovanion,me_rohan_region,2d361a,yes
42,me_land_0001,Land 0001,land,854,346,0.2085470,0.1690278,807,5,me_forodwaith,me_forochel_region,cb6d93,no
43,me_land_0002,Land 0002,land,1000,1342,0.2442002,0.6555936,62,1,me_gondor,me_belfalas_region,69a50c,no
44,me_land_0003,Land 0003,land,1774,1578,0.4332112,0.7708842,251,1,me_gondor,me_belfalas_region,07dc85,no
45,me_land_0004,Land 0004,land,1877,1255,0.4583639,0.6130923,305,1,me_eriador,me_enedwaith_region,a613fe,no
46,me_land_0005,Land 0005,land,1258,1238,0.3072039,0.6047875,301,1,me_eriador,me_enedwaith_region,444b77,no
47,me_land_0006,Land 0006,land,924,1075,0.2256410,0.5251588,247,1,me_eriador,me_lindon_region,e282f0,no
48,me_land_0007,Land 0007,land,3459,997,0.8446886,0.4870542,263,9,me_mordor_and_rhun,me_rhun_region,80ba69,no
49,me_land_0008,Land 0008,land,2538,866,0.6197802,0.4230581,505,3,me_rhovanion,me_dale_region,1ef1e2,no
50,me_land_0009,Land 0009,land,3241,1098,0.7914530,0.5363947,602,9,me_mordor_and_rhun,me_rhun_region,bd295b,no
51,me_land_0010,Land 0010,land,2896,259,0.7072039,0.1265266,717,5,me_forodwaith,me_northern_wastes_region,5b60d4,no
52,me_land_0011,Land 0011,land,3396,365,0.8293040,0.1783097,211,1,me_forodwaith,me_northern_wastes_region,f9984d,no
53,me_land_0012,Land 0012,land,1798,761,0.4390720,0.3717636,273,2,me_eriador,me_shire_breeland_region,97cfc6,no
54,me_land_0013,Land 0013,land,1507,1167,0.3680098,0.5701026,391,1,me_eriador,me_enedwaith_region,36073f,no
55,me_land_0014,Land 0014,land,2684,811,0.6554335,0.3961895,233,1,me_rhovanion,me_dale_region,d43eb8,no
56,me_land_0015,Land 0015,land,1443,1372,0.3523810,0.6702491,345,1,me_gondor,me_belfalas_region,727631,no
57,me_land_0016,Land 0016,land,2806,1366,0.6852259,0.6673180,326,8,me_mordor_and_rhun,me_mordor_region,10adaa,no
58,me_land_0017,Land 0017,land,2063,1909,0.5037851,0.9325843,353,10,me_harad,me_umbar_region,aee523,no
59,me_land_0018,Land 0018,land,2994,1117,0.7311355,0.5456766,385,9,me_mordor_and_rhun,me_rhun_region,4d1c9c,no
60,me_land_0019,Land 0019,land,2253,1334,0.5501832,0.6516854,402,1,me_rhovanion,me_rohan_region,eb5415,no
61,me_land_0020,Land 0020,land,1568,819,0.3829060,0.4000977,276,3,me_eriador,me_shire_breeland_region,898b8e,no
62,me_land_0021,Land 0021,land,2046,868,0.4996337,0.4240352,310,1,me_eriador,me_enedwaith_region,27c307,no
63,me_land_0022,Land 0022,land,1467,676,0.3582418,0.3302394,292,1,me_eriador,me_north_arnor_region,c5fa80,no
64,me_land_0023,Land 0023,land,2175,506,0.5311355,0.2471910,364,1,me_rhovanion,me_grey_mountains_region,6431f9,no
65,me_land_0024,Land 0024,land,1332,982,0.3252747,0.4797264,286,1,me_eriador,me_shire_breeland_region,026972,no
66,me_land_0025,Land 0025,land,3200,1533,0.7814408,0.7489008,331,8,me_mordor_and_rhun,me_mordor_region,a0a0eb,no
67,me_land_0026,Land 0026,land,2078,1026,0.5074481,0.5012213,350,3,me_rhovanion,me_anduin_vale_region,3ed864,no
68,me_land_0027,Land 0027,land,1312,1114,0.3203907,0.5442110,213,2,me_eriador,me_enedwaith_region,dd0fdd,no
69,me_land_0028,Land 0028,land,2022,885,0.4937729,0.4323400,247,1,me_eriador,me_enedwaith_region,7b4756,no
70,me_land_0029,Land 0029,land,1887,1617,0.4608059,0.7899365,278,1,me_gondor,me_belfalas_region,197ecf,no
71,me_land_0030,Land 0030,land,3006,1767,0.7340659,0.8632145,355,10,me_harad,me_near_harad_region,b7b648,no
72,me_land_0031,Land 0031,land,3612,951,0.8820513,0.4645823,471,9,me_mordor_and_rhun,me_rhun_region,55edc1,no
73,me_land_0032,Land 0032,land,1129,1118,0.2757021,0.5461651,347,1,me_eriador,me_lindon_region,f4253a,no
74,me_land_0033,Land 0033,land,1755,674,0.4285714,0.3292623,256,1,me_eriador,me_north_arnor_region,925cb3,no
75,me_land_0034,Land 0034,land,1020,919,0.2490842,0.4489497,328,1,me_eriador,me_lindon_region,30942c,no
76,me_land_0035,Land 0035,land,1287,1008,0.3142857,0.4924279,260,1,me_eriador,me_enedwaith_region,cecba5,no
77,me_land_0036,Land 0036,land,1626,952,0.3970696,0.4650708,284,1,me_eriador,me_shire_breeland_region,6d031e,no
78,me_land_0037,Land 0037,land,1904,1467,0.4649573,0.7166585,221,1,me_rhovanion,me_rohan_region,0b3a97,no
79,me_land_0038,Land 0038,land,2461,1697,0.6009768,0.8290181,444,10,me_gondor,me_lebennin_region,a97210,no
80,me_land_0039,Land 0039,land,1350,1192,0.3296703,0.5823156,523,2,me_eriador,me_enedwaith_region,47a989,no
81,me_land_0040,Land 0040,land,1927,1777,0.4705739,0.8680997,258,10,me_harad,me_umbar_region,e5e102,no
82,me_land_0041,Land 0041,land,3105,1513,0.7582418,0.7391304,374,8,me_mordor_and_rhun,me_mordor_region,84187b,no
83,me_land_0042,Land 0042,land,2846,1452,0.6949939,0.7093307,420,8,me_mordor_and_rhun,me_mordor_region,224ff4,no
84,me_land_0043,Land 0043,land,2031,897,0.4959707,0.4382022,250,1,me_eriador,me_enedwaith_region,c0876d,no
85,me_land_0044,Land 0044,land,2508,439,0.6124542,0.2144602,297,1,me_forodwaith,me_northern_wastes_region,5ebee6,no
86,me_land_0045,Land 0045,land,1584,880,0.3868132,0.4298974,201,1,me_eriador,me_shire_breeland_region,fcf65f,no
