location,kind,region,realm,status
mithlond,land,me_lindon_region,LIN,owned
forlond,land,me_lindon_region,LIN,owned
harlond_lindon,land,me_lindon_region,LIN,owned
annuminas,land,me_north_arnor_region,WILD,wild_buffer
fornost,land,me_north_arnor_region,WILD,wild_buffer
carn_dum,land,me_angmar_region,ANG,owned
hobbiton,land,me_shire_breeland_region,SHI,owned
michel_delving,land,me_shire_breeland_region,SHI,owned
bucklebury,land,me_shire_breeland_region,SHI,owned
me_bree,land,me_shire_breeland_region,BRE,owned
amon_sul,land,me_north_arnor_region,WILD,wild_buffer
rivendell,land,me_anduin_vale_region,RIV,owned
goblin_town,land,me_anduin_vale_region,GOB,owned
gundabad,land,me_northern_wastes_region,GUN,owned
moria,land,me_anduin_vale_region,MOA,owned
carrock,land,me_anduin_vale_region,BEO,owned
caras_galadhon,land,me_anduin_vale_region,LOR,owned
dol_guldur,land,me_mirkwood_region,DOL,owned
thranduil_halls,land,me_mirkwood_region,WOO,owned
esgaroth,land,me_dale_region,ESG,owned
dale,land,me_grey_mountains_region,DAL,owned
erebor,land,me_grey_mountains_region,ERE,owned
dorwinion,land,me_rhun_region,DOR,owned
isengard,land,me_rohan_region,ISE,owned
helms_deep,land,me_rohan_region,ROH,owned
edoras,land,me_rohan_region,ROH,owned
aldberg,land,me_rohan_region,ROH,owned
dunharrow,land,me_rohan_region,ROH,owned
minas_tirith,land,me_anorien_region,GON,owned
osgiliath,land,me_ithilien_region,WILD,wild_ithilien
minas_morgul,land,me_ithilien_region,MOR,owned
morannon,land,me_brown_lands_region,MOR,owned
barad_dur,land,me_ithilien_region,MOR,owned
mount_doom,land,me_ithilien_region,MOR,owned
nurn_fields,land,me_ithilien_region,MOR,owned
pelargir,land,me_lebennin_region,GON,owned
dol_amroth,land,me_belfalas_region,DAM,owned
linhir,land,me_lebennin_region,GON,owned
calembel,land,me_belfalas_region,GON,owned
erech,land,me_rohan_region,GON,owned
umbar,land,me_umbar_region,UMB,owned
pelennor,land,me_anorien_region,GON,owned
me_land_0001,land,me_forochel_region,WILD,wild_buffer
me_land_0002,land,me_forochel_region,WILD,wild_buffer
me_land_0003,land,me_lindon_region,LIN,owned
me_land_0004,land,me_lebennin_region,GON,owned
me_land_0005,land,me_ithilien_region,MOR,owned
me_land_0006,land,me_ithilien_region,MOR,owned
me_land_0007,land,me_enedwaith_region,DUN,owned
me_land_0008,land,me_rhun_region,RH2,owned
me_land_0009,land,me_rohan_region,ROH,owned
me_land_0010,land,me_rhun_region,RH2,owned
me_land_0011,land,me_ithilien_region,WILD,wild_ithilien
me_land_0012,land,me_rhun_region,RH2,owned
me_land_0013,land,me_brown_lands_region,MOR,owned
me_land_0014,land,me_dale_region,ESG,owned
me_land_0015,land,me_forochel_region,WILD,wild_buffer
me_land_0016,land,me_mordor_region,MOR,owned
me_land_0017,land,me_mirkwood_region,DOL,owned
me_land_0018,land,me_anduin_vale_region,FAN,owned
me_land_0019,land,me_rhun_region,RH2,owned
me_land_0020,land,me_lebennin_region,GON,owned
me_land_0021,land,me_rohan_region,ROH,owned
me_land_0022,land,me_near_harad_region,HNE,owned
me_land_0023,land,me_enedwaith_region,WILD,wild_enedwaith
me_land_0024,land,me_rhun_region,RHU,owned
me_land_0025,land,me_mordor_region,MOR,owned
me_land_0026,land,me_mordor_region,MOR,owned
me_land_0027,land,me_enedwaith_region,DUN,owned
me_land_0028,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0029,land,me_mordor_region,MOR,owned
me_land_0030,land,me_enedwaith_region,DUN,owned
me_land_0031,land,me_anduin_vale_region,WILD,wild_buffer
me_land_0032,land,me_anduin_vale_region,WILD,wild_buffer
me_land_0033,land,me_ithilien_region,GON,owned
me_land_0034,land,me_lebennin_region,GON,owned
me_land_0035,land,me_lindon_region,LIN,owned
me_land_0036,land,me_ithilien_region,WILD,wild_ithilien
me_land_0037,land,me_belfalas_region,GON,owned
me_land_0038,land,me_rhun_region,RH2,owned
me_land_0039,land,me_rohan_region,ROH,owned
me_land_0040,land,me_grey_mountains_region,ERE,owned
me_land_0041,land,me_north_arnor_region,WILD,wild_buffer
me_land_0042,land,me_rhun_region,RH2,owned
me_land_0043,land,me_belfalas_region,GON,owned
me_land_0044,land,me_rhun_region,RH2,owned
me_land_0045,land,me_forochel_region,WILD,wild_buffer
me_land_0046,land,me_enedwaith_region,WILD,wild_enedwaith
me_land_0047,land,me_ithilien_region,GON,owned
me_land_0048,land,me_near_harad_region,HNE,owned
me_land_0049,land,me_far_harad_region,HNE,owned
me_land_0050,land,me_lebennin_region,GON,owned
me_land_0051,land,me_rohan_region,ROH,owned
me_land_0052,land,me_mirkwood_region,WOO,owned
me_land_0053,land,me_brown_lands_region,WILD,wild_buffer
me_land_0054,land,me_ithilien_region,WILD,wild_ithilien
me_land_0055,land,me_rhun_region,RHU,owned
me_land_0056,land,me_rhun_region,RH2,owned
me_land_0057,land,me_mordor_region,MOR,owned
me_land_0058,land,me_rohan_region,ROH,owned
me_land_0059,land,me_near_harad_region,HNE,owned
me_land_0060,land,me_ithilien_region,MOR,owned
me_land_0061,land,me_umbar_region,UMB,owned
me_land_0062,land,me_rhun_region,RH2,owned
me_land_0063,land,me_mordor_region,MOR,owned
me_land_0064,land,me_rohan_region,ROH,owned
me_land_0065,land,me_dale_region,DAL,owned
me_land_0066,land,me_anduin_vale_region,WILD,wild_buffer
me_land_0067,land,me_rhun_region,RH2,owned
me_land_0068,land,me_anorien_region,DRU,owned
me_land_0069,land,me_brown_lands_region,WILD,wild_buffer
me_land_0070,land,me_enedwaith_region,DUN,owned
me_land_0071,land,me_rhun_region,RHU,owned
me_land_0072,land,me_north_arnor_region,WILD,wild_buffer
me_land_0073,land,me_lebennin_region,GON,owned
me_land_0074,land,me_rohan_region,ROH,owned
me_land_0075,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0076,land,me_rhun_region,RHU,owned
me_land_0077,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0078,land,me_khand_region,KHA,owned
me_land_0079,land,me_belfalas_region,GON,owned
me_land_0080,land,me_belfalas_region,GON,owned
me_land_0081,land,me_rohan_region,ROH,owned
me_land_0082,land,me_khand_region,KHA,owned
me_land_0083,land,me_lindon_region,LIN,owned
me_land_0084,land,me_enedwaith_region,WILD,wild_enedwaith
me_land_0085,land,me_lindon_region,LIN,owned
me_land_0086,land,me_north_arnor_region,WILD,wild_buffer
me_land_0087,land,me_brown_lands_region,WILD,wild_brown_lands
me_land_0088,land,me_anduin_vale_region,WILD,wild_buffer
me_land_0089,land,me_rhun_region,DOR,owned
me_land_0090,land,me_lindon_region,LIN,owned
me_land_0091,land,me_rohan_region,ROH,owned
me_land_0092,land,me_enedwaith_region,DUN,owned
me_land_0093,land,me_forochel_region,LOS,owned
me_land_0094,land,me_mordor_region,MOR,owned
me_land_0095,land,me_near_harad_region,HNE,owned
me_land_0096,land,me_khand_region,KHA,owned
me_land_0097,land,me_rhun_region,RH2,owned
