location,region,realm,culture,faith,rank,source
mithlond,me_lindon_region,LIN,me_sindar,me_valar_worship,city,"LOTR, Appendix B"
forlond,me_lindon_region,LIN,me_sindar,me_valar_worship,town,"LOTR, Appendix B"
harlond_lindon,me_lindon_region,LIN,me_sindar,me_valar_worship,town,"LOTR, Appendix B"
annuminas,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,ruin,"LOTR, Book I; † ENDORE plan 6.1"
fornost,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,ruin,"LOTR, Book I; † ENDORE plan 6.1"
carn_dum,me_angmar_region,ANG,me_northern_orc,me_melkorism,fortress,"LOTR, Appendix A; † ENDORE plan 8"
hobbiton,me_shire_breeland_region,SHI,me_shire_hobbit,me_northern_ways,village,"LOTR, Book I"
michel_delving,me_shire_breeland_region,SHI,me_shire_hobbit,me_northern_ways,town,"LOTR, Book I"
bucklebury,me_shire_breeland_region,SHI,me_shire_hobbit,me_northern_ways,village,"LOTR, Book I"
me_bree,me_shire_breeland_region,BRE,me_eriadoran,me_northern_ways,town,"LOTR, Book I, Ch. 9"
amon_sul,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,ruin,"LOTR, Book I; † ENDORE plan 6.1"
rivendell,me_anduin_vale_region,RIV,me_noldor,me_valar_worship,refuge,"LOTR, Book II"
goblin_town,me_anduin_vale_region,GOB,me_misty_orc,me_melkorism,hold,"The Hobbit, Ch. 4"
gundabad,me_northern_wastes_region,GUN,me_northern_orc,me_melkorism,hold,"LOTR, Appendix A"
moria,me_anduin_vale_region,MOA,me_misty_orc,me_melkorism,hold,"LOTR, Book II"
carrock,me_anduin_vale_region,BEO,me_beorning,me_northern_ways,village,"The Hobbit, Ch. 7"
caras_galadhon,me_anduin_vale_region,LOR,me_galadhrim,me_valar_worship,refuge,"LOTR, Book II, Ch. 6"
dol_guldur,me_mirkwood_region,DOL,me_mordor_orc,me_sauron_cult,fortress,"LOTR, Appendix B"
thranduil_halls,me_mirkwood_region,WOO,me_silvan,me_valar_worship,refuge,"The Hobbit, Ch. 9"
esgaroth,me_dale_region,ESG,me_dalish,me_northern_ways,town,"The Hobbit, Ch. 10"
dale,me_grey_mountains_region,DAL,me_dalish,me_northern_ways,city,"The Hobbit, Ch. 14"
erebor,me_grey_mountains_region,ERE,me_longbeard,me_mahal_cult,hold,"The Hobbit, Ch. 1"
dorwinion,me_rhun_region,DOR,me_dorwinrim,me_northern_ways,town,"The Hobbit, Ch. 9"
isengard,me_rohan_region,ISE,me_isengard_uruk,me_sauron_cult,fortress,"LOTR, Book III"
helms_deep,me_rohan_region,ROH,me_rohirric,me_northern_ways,fortress,"LOTR, Appendix A"
edoras,me_rohan_region,ROH,me_rohirric,me_northern_ways,city,"LOTR, Appendix A"
aldberg,me_rohan_region,ROH,me_rohirric,me_northern_ways,town,"LOTR, Appendix A"
dunharrow,me_rohan_region,ROH,me_rohirric,me_northern_ways,fortress,"LOTR, Appendix A"
minas_tirith,me_anorien_region,GON,me_gondorian,me_valar_worship,capital,"LOTR, Appendix A"
osgiliath,me_ithilien_region,WILD,me_gondorian,me_valar_worship,ruin,"LOTR map"
minas_morgul,me_ithilien_region,MOR,me_mordor_orc,me_sauron_cult,fortress,"LOTR, Books IV-VI"
morannon,me_brown_lands_region,MOR,me_mordor_orc,me_sauron_cult,fortress,"LOTR, Books IV-VI"
barad_dur,me_ithilien_region,MOR,me_mordor_orc,me_sauron_cult,capital,"LOTR, Books IV-VI"
mount_doom,me_ithilien_region,MOR,me_mordor_orc,me_sauron_cult,landmark,"LOTR, Books IV-VI"
nurn_fields,me_ithilien_region,MOR,me_mordor_orc,me_sauron_cult,town,"LOTR, Books IV-VI"
pelargir,me_lebennin_region,GON,me_gondorian,me_valar_worship,city,"LOTR, Appendix A"
dol_amroth,me_belfalas_region,DAM,me_dol_amrothian,me_valar_worship,city,"LOTR, Book V, Ch. 1"
linhir,me_lebennin_region,GON,me_gondorian,me_valar_worship,town,"LOTR, Appendix A"
calembel,me_belfalas_region,GON,me_gondorian,me_valar_worship,town,"LOTR, Appendix A"
erech,me_rohan_region,GON,me_gondorian,me_valar_worship,town,"LOTR, Appendix A"
umbar,me_umbar_region,UMB,me_umbarite,me_sauron_cult,city,"LOTR, Appendix A"
pelennor,me_anorien_region,GON,me_gondorian,me_valar_worship,landmark,"LOTR, Appendix A"
me_land_0001,me_forochel_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"LOTR map and Appendix A"
me_land_0002,me_forochel_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"LOTR map and Appendix A"
me_land_0003,me_lindon_region,LIN,me_sindar,me_valar_worship,place,"LOTR, Appendix B"
me_land_0004,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0005,me_ithilien_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0006,me_ithilien_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0007,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_0008,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0009,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0010,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0011,me_ithilien_region,WILD,me_gondorian,me_valar_worship,wilderness,"LOTR map"
me_land_0012,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0013,me_brown_lands_region,MOR,me_mordor_orc,me_sauron_cult,fortress,"LOTR, Books IV-VI"
me_land_0014,me_dale_region,ESG,me_dalish,me_northern_ways,place,"The Hobbit, Ch. 10"
me_land_0015,me_forochel_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"LOTR map and Appendix A"
me_land_0016,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0017,me_mirkwood_region,DOL,me_mordor_orc,me_sauron_cult,place,"LOTR, Appendix B"
me_land_0018,me_anduin_vale_region,FAN,me_onodrim,me_eldest_ways,place,"LOTR, Book III, Ch. 4"
me_land_0019,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0020,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
