location,name,region,realm,rank,population_k,culture,faith,minorities,raw_material,engine_rank,abi_cultures
mithlond,Grey Havens,me_lindon_region,LIN,city,4.244,me_sindar,me_valar_worship,me_noldor:3,livestock,city,eshira
forlond,Forlond,me_lindon_region,LIN,town,0.548,me_sindar,me_valar_worship,,fish,town,
harlond_lindon,Harlond,me_lindon_region,LIN,town,0.548,me_sindar,me_valar_worship,,livestock,town,
annuminas,Annúminas,me_north_arnor_region,WILD,ruin,0,me_eriadoran,me_northern_ways,,livestock,rural_settlement,
fornost,Fornost,me_north_arnor_region,WILD,ruin,0,me_eriadoran,me_northern_ways,,wool,rural_settlement,
carn_dum,Carn Dûm,me_angmar_region,ANG,fortress,0.675,me_northern_orc,me_melkorism,,wild_game,town,
hobbiton,Hobbiton,me_shire_breeland_region,SHI,village,8.596,me_shire_hobbit,me_northern_ways,,fiber_crops,rural_settlement,ambrym_culture
michel_delving,Michel Delving,me_shire_breeland_region,SHI,town,17.186,me_shire_hobbit,me_northern_ways,,wheat,town,ainu_culture
bucklebury,Bucklebury,me_shire_breeland_region,SHI,village,8.596,me_shire_hobbit,me_northern_ways,,wheat,rural_settlement,ambundu
me_bree,Bree,me_shire_breeland_region,BRE,town,9.918,me_eriadoran,me_northern_ways,me_bree_hobbit:7,wheat,town,amaimon_culture
amon_sul,Amon Sûl,me_north_arnor_region,WILD,ruin,0,me_eriadoran,me_northern_ways,,livestock,rural_settlement,
rivendell,Rivendell,me_anduin_vale_region,RIV,refuge,0.256,me_noldor,me_valar_worship,,livestock,town,
goblin_town,Goblin-town,me_anduin_vale_region,GOB,hold,6.843,me_misty_orc,me_melkorism,,wool,town,arandai_culture
gundabad,Gundabad,me_northern_wastes_region,GUN,hold,3.358,me_northern_orc,me_melkorism,,fur,town,malao_culture
moria,Khazad-dûm,me_anduin_vale_region,MOA,hold,18.859,me_misty_orc,me_melkorism,me_northern_orc:7,gems,town,aimara_culture
carrock,The Carrock,me_anduin_vale_region,BEO,village,0.879,me_beorning,me_northern_ways,,wool,town,
caras_galadhon,Caras Galadhon,me_anduin_vale_region,LOR,refuge,3.656,me_galadhrim,me_valar_worship,,livestock,town,hiraaca_culture
dol_guldur,Dol Guldur,me_mirkwood_region,DOL,fortress,9.171,me_mordor_orc,me_sauron_cult,,medicaments,town,ambae_culture
thranduil_halls,Thranduil's Halls,me_mirkwood_region,WOO,refuge,2.706,me_silvan,me_valar_worship,,wool,town,murut_culture
esgaroth,Esgaroth,me_dale_region,ESG,town,9.645,me_dalish,me_northern_ways,,clay,town,amarak_culture
dale,Dale,me_grey_mountains_region,DAL,city,29.748,me_dalish,me_northern_ways,,wheat,city,aeta_culture
erebor,Erebor,me_grey_mountains_region,ERE,hold,7.422,me_longbeard,me_mahal_cult,,goods_gold,city,apyawa_culture
dorwinion,Dorwinion,me_rhun_region,DOR,town,27.325,me_dorwinrim,me_northern_ways,me_dalish:18,wine,town,afar_culture
isengard,Isengard,me_rohan_region,ISE,fortress,1.169,me_isengard_uruk,me_sauron_cult,,horses,town,
helms_deep,Helm's Deep,me_rohan_region,ROH,fortress,12.569,me_rohirric,me_northern_ways,,gems,town,akan
edoras,Edoras,me_rohan_region,ROH,city,25.132,me_rohirric,me_northern_ways,,horses,city,agaideka_culture
aldberg,Aldburg,me_rohan_region,ROH,town,15.081,me_rohirric,me_northern_ways,,clay,town,akainaa_culture
dunharrow,Dunharrow,me_rohan_region,ROH,fortress,12.569,me_rohirric,me_northern_ways,,wheat,town,akei_culture
minas_tirith,Minas Tirith,me_anorien_region,GON,capital,72.548,me_gondorian,me_valar_worship,,clay,city,abipones_culture
osgiliath,Osgiliath,me_ithilien_region,WILD,ruin,0,me_gondorian,me_valar_worship,,clay,rural_settlement,
minas_morgul,Minas Morgul,me_ithilien_region,MOR,fortress,46.591,me_mordor_orc,me_sauron_cult,,livestock,town,abun_culture
morannon,The Morannon,me_brown_lands_region,MOR,fortress,42.342,me_mordor_orc,me_sauron_cult,,wheat,town,acaxee_culture
barad_dur,Barad-dûr,me_ithilien_region,MOR,capital,118.549,me_mordor_orc,me_sauron_cult,,wheat,city,abazin_culture
mount_doom,Orodruin,me_ithilien_region,MOR,landmark,1.416,me_mordor_orc,me_sauron_cult,,stone,rural_settlement,
nurn_fields,Fields of Nurn,me_ithilien_region,MOR,town,358.473,me_mordor_orc,me_sauron_cult,me_near_haradrim:350,salt,town,abau_culture
pelargir,Pelargir,me_lebennin_region,GON,city,51.821,me_gondorian,me_valar_worship,,fish,city,abkhazian_culture
dol_amroth,Dol Amroth,me_belfalas_region,DAM,city,23.368,me_dol_amrothian,me_valar_worship,,fish,city,agob_culture
linhir,Linhir,me_lebennin_region,GON,town,31.095,me_gondorian,me_valar_worship,,livestock,town,adhari_culture
calembel,Calembel,me_belfalas_region,GON,town,31.095,me_gondorian,me_valar_worship,,clay,town,aekyom_culture
erech,Erech,me_rohan_region,GON,town,31.095,me_gondorian,me_valar_worship,,clay,town,adzera_culture
umbar,Umbar,me_umbar_region,UMB,city,41.89,me_umbarite,me_sauron_cult,me_black_numenorean:25,fish,city,achagua_culture
pelennor,Pelennor,me_anorien_region,GON,landmark,5.187,me_gondorian,me_valar_worship,,livestock,rural_settlement,beja_culture
me_land_0001,Coldbay,me_forochel_region,LOS,place,0.211,me_lossoth,me_lossoth_ways,,fish,rural_settlement,
me_land_0002,Driftbay,me_forochel_region,LOS,place,0.211,me_lossoth,me_lossoth_ways,,fur,rural_settlement,
me_land_0003,Amon adarath,me_lindon_region,WILD,wilderness,0.011,me_sindar,me_valar_worship,,livestock,rural_settlement,
me_land_0004,Dol adarath,me_lebennin_region,GON,place,3.58,me_gondorian,me_valar_worship,,clay,rural_settlement,khanty_culture
me_land_0005,Ashbag,me_mordor_region,MOR,place,4.826,me_mordor_orc,me_sauron_cult,,iron,rural_settlement,english
me_land_0006,Balach,me_rhun_region,WILD,wilderness,0.011,me_balchoth,me_melkorism,,wheat,rural_settlement,
me_land_0007,Frostbay,me_northern_wastes_region,WILD,wilderness,0.011,me_lossoth,me_lossoth_ways,,clay,rural_settlement,
me_land_0008,Alderbank,me_enedwaith_region,WILD,wilderness,0.011,me_dunlending,me_dunland_ways,,livestock,rural_settlement,
me_land_0009,Azgbag,me_mordor_region,MOR,place,4.826,me_mordor_orc,me_sauron_cult,,iron,rural_settlement,enggano_culture
me_land_0010,Aldberg,me_rohan_region,ROH,place,2.517,me_rohirric,me_northern_ways,,livestock,rural_settlement,pazioca_culture
me_land_0011,Eithel adarath,me_anorien_region,GON,place,5.186,me_gondorian,me_valar_worship,,clay,rural_settlement,dan_ke_culture
me_land_0012,Borach,me_rhun_region,WILD,wilderness,0.009,me_balchoth,me_melkorism,,wool,rural_settlement,
me_land_0013,Emyn adarath,me_brown_lands_region,WILD,wilderness,0.007,me_woodman,me_northern_ways,,clay,rural_settlement,
me_land_0014,Beorberg,me_rohan_region,ROH,place,2.613,me_rohirric,me_northern_ways,,clay,rural_settlement,ngbandi_culture
me_land_0015,Bearbank,me_anduin_vale_region,BEO,place,0.296,me_beorning,me_northern_ways,,wool,rural_settlement,
me_land_0016,Ashbank,me_enedwaith_region,WILD,wilderness,0.013,me_dunlending,me_dunland_ways,,livestock,rural_settlement,
me_land_0017,Blackbag,me_mordor_region,MOR,place,1.416,me_mordor_orc,me_sauron_cult,,wheat,rural_settlement,
me_land_0018,Burzbag,me_mordor_region,WILD,wilderness,0.009,me_mordor_orc,me_sauron_cult,,livestock,rural_settlement,
me_land_0019,Barrowbank,me_anduin_vale_region,WILD,wilderness,0.013,me_woodman,me_northern_ways,,livestock,rural_settlement,
me_land_0020,Imlad adarath,me_belfalas_region,GON,place,3.58,me_gondorian,me_valar_worship,,fish,rural_settlement,khandeshi
me_land_0021,Dushbag,me_mordor_region,MOR,place,6.356,me_mordor_orc,me_sauron_cult,,stone,rural_settlement,atavillos_culture
me_land_0022,Minas adarath,me_ithilien_region,WILD,wilderness,0.006,me_gondorian,me_valar_worship,,iron,rural_settlement,
me_land_0023,Ost adarath,me_south_gondor_region,GON,place,5.186,me_gondorian,me_valar_worship,,wool,rural_settlement,dan
me_land_0024,Beaconbank,me_anduin_vale_region,WILD,wilderness,0.011,me_woodman,me_northern_ways,,clay,rural_settlement,
me_land_0025,The Argonath,me_rohan_region,ROH,ruin,0,me_rohirric,me_northern_ways,,wool,rural_settlement,
me_land_0026,Azrabad,me_near_harad_region,HRA,place,3.612,me_near_haradrim,me_southron_ways,,wool,rural_settlement,iztachichimecah_culture
me_land_0027,Gathach,me_rhun_region,RH2,place,3.379,me_karmachi,me_melkorism,,wool,rural_settlement,malakula_culture
me_land_0028,Taur adarath,me_lindon_region,LIN,place,0.095,me_sindar,me_valar_worship,,wool,rural_settlement,
me_land_0029,Ghashbag,me_mordor_region,MOR,place,6.356,me_mordor_orc,me_sauron_cult,,iron,rural_settlement,ataronchronon_culture
me_land_0030,Applebank,me_shire_breeland_region,WILD,wilderness,0.013,me_eriadoran,me_northern_ways,,wheat,rural_settlement,
me_land_0031,Bahrabad,me_near_harad_region,HNE,place,1.989,me_near_haradrim,me_southron_ways,,horses,rural_settlement,tionontate_culture
me_land_0032,Bar adarath,me_enedwaith_region,RAN,place,0.168,me_arnor_dunedain,me_valar_worship,,wool,rural_settlement,
me_land_0033,Calen adarath,me_mirkwood_region,WOO,place,0.607,me_silvan,me_valar_worship,,wool,rural_settlement,
me_land_0034,Alderbark,me_anduin_vale_region,FAN,place,0.013,me_onodrim,me_eldest_ways,,wild_game,rural_settlement,
me_land_0035,Celon adarath,me_brown_lands_region,WILD,wilderness,0.011,me_woodman,me_northern_ways,,horses,rural_settlement,
me_land_0036,Azanabad,me_grey_mountains_region,WILD,wilderness,0.009,me_northern_orc,me_melkorism,,wild_game,rural_settlement,
me_land_0037,Blackbank,me_enedwaith_region,WILD,wilderness,0.013,me_dunlending,me_dunland_ways,,wool,rural_settlement,
me_land_0038,Bramblebank,me_enedwaith_region,WILD,wilderness,0.011,me_dunlending,me_dunland_ways,,wool,rural_settlement,
me_land_0039,Barazabad,me_lindon_region,BLU,place,0.263,me_firebeard_broadbeam,me_mahal_cult,,livestock,rural_settlement,
me_land_0040,Nim adarath,me_belfalas_region,GON,place,5.186,me_gondorian,me_valar_worship,,livestock,rural_settlement,dambro_culture
me_land_0041,Amon aelath,me_anorien_region,GON,place,4.676,me_gondorian,me_valar_worship,,wool,rural_settlement,eora_culture
me_land_0042,Dol aelath,me_anorien_region,GON,place,5.062,me_gondorian,me_valar_worship,,clay,rural_settlement,dan_ki_culture
me_land_0043,Icebay,me_northern_wastes_region,WILD,wilderness,0.011,me_lossoth,me_lossoth_ways,,livestock,rural_settlement,
me_land_0044,Darabad,me_near_harad_region,HNE,place,2.651,me_near_haradrim,me_southron_ways,,wool,rural_settlement,nengone_culture
me_land_0045,Northbay,me_northern_wastes_region,WILD,wilderness,0.011,me_lossoth,me_lossoth_ways,,livestock,rural_settlement,
me_land_0046,Amberbank,me_rhun_region,DOR,place,1.558,me_dorwinrim,me_northern_ways,,horses,rural_settlement,yerle_qaliq_culture
