tag,culture,faith,source,note
GON,me_gondorian,me_valar_worship,"LOTR, Appendix A","Country profile; local minority pops belong to M5"
DAM,me_dol_amrothian,me_valar_worship,"LOTR, Book V, Ch. 1","Country profile"
ROH,me_rohirric,me_northern_ways,"LOTR, Appendix A","Country profile"
SHI,me_shire_hobbit,me_northern_ways,"LOTR, Book I","Hobbits are modeled through quiet northern hearth customs"
BRE,me_eriadoran,me_northern_ways,"LOTR, Book I, Ch. 9","Bree-hobbit minorities belong to M5"
RAN,me_arnor_dunedain,me_valar_worship,"LOTR, Appendix A","Country profile"
RIV,me_noldor,me_valar_worship,"LOTR, Book II","Country profile"
LIN,me_sindar,me_valar_worship,"LOTR, Appendix B","Country profile"
BLU,me_firebeard_broadbeam,me_mahal_cult,"The Silmarillion; † ENDORE plan 6.1","Country profile"
LOR,me_galadhrim,me_valar_worship,"LOTR, Book II, Ch. 6","Country profile"
WOO,me_silvan,me_valar_worship,"The Hobbit, Ch. 9","Sindarin court minority belongs to M5"
ERE,me_longbeard,me_mahal_cult,"The Hobbit, Ch. 1","Country profile"
IRO,me_longbeard,me_mahal_cult,"The Hobbit, Ch. 17","Country profile"
DAL,me_dalish,me_northern_ways,"The Hobbit, Ch. 14","Country profile"
ESG,me_dalish,me_northern_ways,"The Hobbit, Ch. 10","Lake-folk folded into Dalish"
BEO,me_beorning,me_northern_ways,"The Hobbit, Ch. 7","Country profile"
WDM,me_woodman,me_northern_ways,"Unfinished Tales","Country profile"
DOR,me_dorwinrim,me_northern_ways,"The Hobbit, Ch. 9","Country profile"
FAN,me_onodrim,me_eldest_ways,"LOTR, Book III, Ch. 4","No organized Ent religion is asserted"
DRU,me_druedain,me_druedain_ways,"LOTR, Book V, Ch. 5","Country profile"
LOS,me_lossoth,me_lossoth_ways,"LOTR, Appendix A","Country profile"
RHO,me_woodman,me_northern_ways,"LOTR map; † ENDORE plan 8.1","Radagast is not treated as a demographic culture"
MOR,me_mordor_orc,me_sauron_cult,"LOTR, Books IV-VI","Nurn Mannish slaves belong to M5"
DOL,me_mordor_orc,me_sauron_cult,"LOTR, Appendix B","Country profile"
ISE,me_isengard_uruk,me_sauron_cult,"LOTR, Book III","Dunlending subjects and older orcs belong to M5"
MOA,me_misty_orc,me_melkorism,"LOTR, Book II","Older shadow devotion distinguishes independent mountain orcs"
GUN,me_northern_orc,me_melkorism,"LOTR, Appendix A","Country profile"
GOB,me_misty_orc,me_melkorism,"The Hobbit, Ch. 4","Country profile"
UMB,me_umbarite,me_sauron_cult,"LOTR, Appendix A","Black Númenórean elite minority belongs to M5"
HNE,me_near_haradrim,me_southron_ways,"† ENDORE plan 7-8","Commons profile; Shadow elite belongs to M5"
HRA,me_near_haradrim,me_southron_ways,"† ENDORE plan 7-8","Commons profile"
HFA,me_far_haradrim,me_southron_ways,"LOTR, Book V; † ENDORE plan 7","Commons profile"
KHA,me_variag,me_melkorism,"LOTR, Book V; † ENDORE plan 7","Country profile"
RHU,me_balchoth,me_sauron_cult,"LOTR, Appendix A; † ENDORE plan 8","Shadow-cowed eastern kingdom"
RH2,me_karmachi,me_melkorism,"† ENDORE plan 7-8","Older eastern devotion"
RH3,me_sagath,me_melkorism,"† ENDORE plan 7-8","Older eastern devotion"
DUN,me_dunlending,me_dunland_ways,"LOTR, Appendix A","Country profile"
ANG,me_northern_orc,me_melkorism,"LOTR, Appendix A; † ENDORE plan 8","Country profile"
