region,culture,faith,source,note
me_forochel_region,me_lossoth,me_lossoth_ways,"LOTR map and Appendix A","Wild-location fallback"
me_angmar_region,me_northern_orc,me_melkorism,"LOTR, Appendix A","Wild-location fallback"
me_northern_wastes_region,me_lossoth,me_lossoth_ways,"† ENDORE plan 6-7","Sparse northern fallback"
me_lindon_region,me_sindar,me_valar_worship,"LOTR, Appendix B","Wild-location fallback"
me_north_arnor_region,me_eriadoran,me_northern_ways,"LOTR, Book I; † ENDORE plan 6.1","Sparse remnant fallback"
me_shire_breeland_region,me_eriadoran,me_northern_ways,"LOTR, Book I","Realm ownership overrides the Shire"
me_enedwaith_region,me_dunlending,me_dunland_ways,"LOTR map; † ENDORE plan 6.1","Sparse hill-folk fallback"
me_anduin_vale_region,me_woodman,me_northern_ways,"The Hobbit; Unfinished Tales","Wild-location fallback"
me_mirkwood_region,me_woodman,me_northern_ways,"The Hobbit; Unfinished Tales","Realm ownership overrides the Woodland Realm"
me_grey_mountains_region,me_northern_orc,me_melkorism,"LOTR, Appendix A; † ENDORE plan 6.1","Abandoned holds and orc warrens"
me_dale_region,me_dalish,me_northern_ways,"The Hobbit","Wild-location fallback"
me_rhun_region,me_balchoth,me_melkorism,"LOTR, Appendix A; † ENDORE plan 6-7","Eastern fallback"
me_brown_lands_region,me_woodman,me_northern_ways,"LOTR map; † ENDORE plan 6.1","Near-empty; M5 makes the desolation demographic"
me_rohan_region,me_rohirric,me_northern_ways,"LOTR, Appendix A","Realm ownership overrides Isengard and Dunland"
me_belfalas_region,me_gondorian,me_valar_worship,"LOTR map and Appendix A","Realm ownership overrides Dol Amroth"
me_lebennin_region,me_gondorian,me_valar_worship,"LOTR map","Wild-location fallback"
me_ithilien_region,me_gondorian,me_valar_worship,"LOTR map","Mordor ownership overrides occupied locations"
me_anorien_region,me_gondorian,me_valar_worship,"LOTR map","Wild-location fallback"
me_south_gondor_region,me_gondorian,me_valar_worship,"LOTR map; † ENDORE plan 6.1","Wild-location fallback"
me_mordor_region,me_mordor_orc,me_sauron_cult,"LOTR, Books IV-VI","Wild-location fallback"
me_umbar_region,me_umbarite,me_sauron_cult,"LOTR, Appendix A","Wild-location fallback"
me_near_harad_region,me_near_haradrim,me_southron_ways,"LOTR map; † ENDORE plan 6-7","Wild-location fallback"
me_far_harad_region,me_far_haradrim,me_southron_ways,"LOTR, Book V; † ENDORE plan 6-7","Wild-location fallback"
me_khand_region,me_variag,me_melkorism,"LOTR map; † ENDORE plan 6-7","Wild-location fallback"
