tag,name,adjective,capital_ref,x,y,regions,style,color,emblem,max_locations,source
GON,Gondor,Gondorian,minas_tirith,0.625,0.720,me_belfalas_region|me_lebennin_region|me_ithilien_region|me_anorien_region|me_south_gondor_region,sindarin,52 92 118,ce_tree_oak.dds,0,"LOTR, Appendix A; ENDORE plan 8.1"
DAM,Dol Amroth,Dol Amrothian,dol_amroth,0.506,0.767,me_belfalas_region|me_lebennin_region,sindarin,36 92 142,ce_swan.dds,70,"LOTR, Book V, Ch. 1; ENDORE plan 8.1"
ROH,Rohan,Rohirric,edoras,0.535,0.690,me_rohan_region,rohirric,64 126 62,ce_horse_courant.dds,0,"LOTR, Appendix A; ENDORE plan 8.1"
SHI,The Shire,Shire-hobbit,michel_delving,0.315,0.425,me_shire_breeland_region,hobbit,116 154 68,ce_tree_fruit_simple.dds,70,"LOTR, Book I; ENDORE plan 8.1"
BRE,Bree-land,Bree-folk,bree,0.395,0.400,me_shire_breeland_region,westron,142 112 67,ce_horseshoe.dds,24,"LOTR, Book I, Ch. 9; ENDORE plan 8.1"
RAN,Rangers of the North,Northern Dúnedain,the_angle,0.430,0.420,me_north_arnor_region|me_shire_breeland_region|me_enedwaith_region,sindarin,72 88 82,ce_star_07.dds,45,"LOTR, Appendix A; ENDORE plan 8.1"
RIV,Rivendell,Imladrim,rivendell,0.475,0.405,me_shire_breeland_region|me_north_arnor_region,sindarin,120 136 176,ce_star_08.dds,16,"LOTR, Book II, Ch. 1; ENDORE plan 8.1"
LIN,Lindon,Lindonrim,mithlond,0.261,0.340,me_lindon_region,sindarin,80 112 152,ce_boat_shield.dds,0,"LOTR, Appendix B; ENDORE plan 8.1"
BLU,Halls of Ered Luin,Blue-mountain Dwarven,blue_halls,0.275,0.465,me_lindon_region|me_enedwaith_region,khuzdul,92 92 106,ce_mountain.dds,40,"† ENDORE plan 8.1; the surviving halls are not individually named in binding canon"
LOR,Lothlórien,Galadhrim,caras_galadhon,0.525,0.525,me_anduin_vale_region|me_brown_lands_region,sindarin,174 164 82,ce_tree_oak.dds,55,"LOTR, Book II, Ch. 6; ENDORE plan 8.1"
WOO,The Woodland Realm,Woodland,thranduil_halls,0.615,0.330,me_mirkwood_region|me_dale_region,sindarin,52 104 64,ce_stag.dds,0,"The Hobbit, Ch. 9; ENDORE plan 8.1"
ERE,Erebor,Ereborian,erebor,0.660,0.305,me_dale_region|me_grey_mountains_region,khuzdul,112 82 52,ce_mountain.dds,55,"The Hobbit, Ch. 1; ENDORE plan 8.1"
IRO,Iron Hills,Iron-hills Dwarven,iron_hills,0.720,0.285,me_dale_region|me_grey_mountains_region,khuzdul,96 86 72,ce_axes_addorsed_shield.dds,45,"The Hobbit, Ch. 17; ENDORE plan 8.1"
DAL,Dale,Dalish,dale,0.660,0.335,me_dale_region,dalish,122 80 48,ce_tower.dds,70,"The Hobbit, Ch. 14; ENDORE plan 8.1"
ESG,Esgaroth,Lake-folk,esgaroth,0.645,0.370,me_dale_region,dalish,54 108 132,ce_boat_shield.dds,25,"The Hobbit, Ch. 10; ENDORE plan 8.1"
BEO,The Beornings,Beorning,carrock,0.535,0.395,me_anduin_vale_region|me_mirkwood_region,beorning,116 82 48,ce_bear_passant.dds,65,"The Hobbit, Ch. 7; ENDORE plan 8.1"
WDM,Woodmen of Mirkwood,Woodman,woodmen_hall,0.550,0.445,me_anduin_vale_region|me_mirkwood_region,westron,68 112 58,ce_bow_arrow.dds,95,"Unfinished Tales, The Disaster of the Gladden Fields; ENDORE plan 8.1"
DOR,Dorwinion,Dorwinrim,dorwinion,0.728,0.470,me_rhun_region|me_brown_lands_region,dalish,126 62 100,ce_tree_fruit_simple.dds,90,"The Hobbit, Ch. 9; ENDORE plan 8.1"
FAN,Fangorn,Onodrim,wellinghall,0.500,0.610,me_rohan_region|me_anduin_vale_region|me_brown_lands_region,entish,44 88 48,ce_tree_oak.dds,45,"LOTR, Book III, Ch. 4; ENDORE plan 8.1"
DRU,Drúadan Forest,Drúedain,ghans_glade,0.585,0.735,me_anorien_region|me_south_gondor_region,westron,86 104 58,ce_stag_head_antlers_embowed.dds,22,"LOTR, Book V, Ch. 5; † seat invented because canon gives no capital"
LOS,Lossoth of Forochel,Lossoth,forochel_camp,0.285,0.180,me_forochel_region|me_northern_wastes_region,lossoth,86 132 148,ce_fish_naiant.dds,85,"LOTR, Appendix A; ENDORE plan 8.1"
