LandProvince;SeaZone;x;y;
mithlond;me_sea_0046;4227;5386;x
me_land_0001;me_sea_0069;3418;6809;x
me_land_0002;me_sea_0070;3983;2766;x
me_land_0003;me_sea_0150;7098;1881;x
me_land_0006;me_sea_0211;3699;3854;x
me_land_0029;me_sea_0162;7566;1769;x
me_land_0075;me_sea_0251;3175;5954;x
me_land_0130;me_sea_0216;14832;3726;x
me_land_0134;me_sea_0315;9478;7773;x
me_land_0146;me_sea_0162;7502;1733;x
me_land_0157;me_sea_0037;4535;5330;x
me_land_0159;me_sea_0047;3494;7757;x
me_land_0300;me_sea_0158;9630;7769;x
me_land_0319;me_sea_0150;7146;1881;x
me_land_0328;me_sea_0259;11670;120;x
me_land_0361;me_sea_0110;14868;3846;x
me_land_0366;me_sea_0093;8986;1349;x
me_land_0386;me_sea_0121;13162;564;x
me_land_0396;me_sea_0278;5518;7893;x
me_land_0406;me_sea_0099;6474;1485;x
me_land_0448;me_sea_0309;14836;4926;x
me_land_0484;me_sea_0093;9254;1409;x
me_land_0491;me_sea_0003;7070;1585;x
me_land_0542;me_sea_0155;3494;6417;x
me_land_0548;me_sea_0039;11934;7413;x
me_land_0615;me_sea_0121;13058;504;x
me_land_0695;me_sea_0253;13492;810;x
me_land_0729;me_sea_0003;7007;1650;x
me_land_0776;me_sea_0105;7206;292;x
me_land_0800;me_sea_0285;3774;7765;x
me_land_0804;me_sea_0018;14856;5090;x
me_land_0813;me_sea_0212;5623;950;x
me_land_0894;me_sea_0317;4870;2624;x
me_land_0961;me_sea_0278;5426;7901;x
me_land_0962;me_sea_0084;4506;6585;x
me_land_0984;me_sea_0150;7462;1984;x
me_land_1000;me_sea_0162;7627;1914;x
me_land_1047;me_sea_0259;10798;80;x
me_land_1104;me_sea_0093;9238;1468;x
me_land_1109;me_sea_0222;3375;4938;x
me_land_1148;me_sea_0294;14850;4473;x
me_land_1220;me_sea_0245;8198;7861;x
me_land_1239;me_sea_0090;3294;6197;x
me_land_1241;me_sea_0155;3546;6568;x
me_land_1260;me_sea_0021;8338;7861;x
me_land_1277;me_sea_0304;12370;7313;x
me_land_1285;me_sea_0011;5886;7861;x
me_land_1297;me_sea_0088;10618;80;x
me_land_1315;me_sea_0183;5030;7857;x
me_land_1319;me_sea_0284;3479;5554;x
me_land_1345;me_sea_0181;13542;6885;x
me_land_1408;me_sea_0115;6842;384;x
me_land_1436;me_sea_0105;8054;152;x
me_land_1491;me_sea_0146;5186;7873;x
me_land_1492;me_sea_0200;13742;1064;x
me_land_1510;me_sea_0097;3607;3450;x
me_land_1521;me_sea_0171;14540;2766;x
me_land_1573;me_sea_0003;6990;1569;x
me_land_1610;me_sea_0275;6546;7857;x
me_land_1699;me_sea_0105;8010;160;x
me_land_1701;me_sea_0216;14736;3358;x
me_land_1715;me_sea_0150;7407;2006;x
me_land_1726;me_sea_0162;7906;1816;x
me_land_1728;me_sea_0222;3307;5066;x
me_land_1744;me_sea_0037;4482;5073;x
me_land_1754;me_sea_0185;4007;7046;x
me_land_1807;me_sea_0090;3327;6318;x
me_land_1840;me_sea_0227;5766;848;x
me_land_1861;me_sea_0169;4498;7833;x
me_land_1862;me_sea_0257;14810;5533;x
me_land_1875;me_sea_0141;6258;584;x
me_land_1878;me_sea_0121;13412;738;x
me_land_1883;me_sea_0008;3790;3276;x
me_land_1890;me_sea_0100;14624;3010;x
me_land_1906;me_sea_0317;5134;2556;x
me_land_1941;me_sea_0162;7758;1828;x
me_land_1951;me_sea_0285;3654;7765;x
me_land_2010;me_sea_0183;4966;7849;x
me_land_2022;me_sea_0037;4951;5194;x
me_land_2032;me_sea_0150;6943;2130;x
me_land_2040;me_sea_0093;8674;1652;x
me_land_2042;me_sea_0183;4838;7841;x
me_land_2048;me_sea_0084;5115;6782;x
me_land_2093;me_sea_0200;13888;1294;x
me_land_2132;me_sea_0037;4382;5053;x
me_land_2181;me_sea_0064;5358;2524;x
me_land_2186;me_sea_0300;6026;1489;x
me_land_2194;me_sea_0154;14378;6305;x
me_land_2198;me_sea_0003;6895;1694;x
